original_review_id,source,country,rating,review,discovery_score,rating_bonus,priority_score,categories,matched_terms,review_lower
3822,Google Play,IN,5,"Spotify is one of the best music apps I’ve ever used. It is very easy to find songs, playlists, and podcasts based on my mood. The sound quality is great, and I really like the personalized recommendations. It makes listening to music much more enjoyable every day.",18,0,18,"discovery,recommendation,playlist,personalization","find songs,mood,personalized,playlists,recommendations","spotify is one of the best music apps i’ve ever used. it is very easy to find songs, playlists, and podcasts based on my mood. the sound quality is great, and i really like the personalized recommendations. it makes listening to music much more enjoyable every day."
3504,Google Play,IN,2,"playback constantly buffers mid-song, shuffle repeats the same songs, no option to save queue",15,3,18,"repetition,playlist","repeats,same songs,shuffle","playback constantly buffers mid-song, shuffle repeats the same songs, no option to save queue"
5788,Apple App Store,AU,1,"No matter what settings you change to shuffle your songs - the algorithm with continue to play the same songs, even in the same order.",14,4,18,"recommendation,repetition,playlist","algorithm,same songs,shuffle","no matter what settings you change to shuffle your songs - the algorithm with continue to play the same songs, even in the same order."
5865,Apple App Store,AU,1,"I don’t know but it was never like this but I thought Spotify was great and amazing but it’s just forcing me to have premium and I can’t turn off smart shuffle and it won’t ever play the playlist I want the songs from the playlist just sits there never played all there is, is random songs playing and it’s pissing me off

I ABSOLUTELY HATE THAT I CANT USE SPOTIFY THE SAME WAY BEFORE

Playing Apple Music forever till this problem is fixed

In my opinion smart shuffle wasn’t my favourite and today the album I wanted to listen to wasn’t being able to play because smart shuffle was in the way and I absolutely hate this problem like I felt like writing this so I am

THANKS FOR RUINING MY DAY!!!!!
I’m so happy now!!!!!!!!!!!!!! JUST WOW SPOTIFY",14,4,18,playlist,"playlist,shuffle,smart shuffle","i don’t know but it was never like this but i thought spotify was great and amazing but it’s just forcing me to have premium and i can’t turn off smart shuffle and it won’t ever play the playlist i want the songs from the playlist just sits there never played all there is, is random songs playing and it’s pissing me off

i absolutely hate that i cant use spotify the same way before

playing apple music forever till this problem is fixed

in my opinion smart shuffle wasn’t my favourite and today the album i wanted to listen to wasn’t being able to play because smart shuffle was in the way and i absolutely hate this problem like i felt like writing this so i am

thanks for ruining my day!!!!!
i’m so happy now!!!!!!!!!!!!!! just wow spotify"
713,Google Play,IN,1,"Spotify used to be all about the USER discovering new music/artists. Now its just an algorithm that trys to tell me what i should like. Removing ""Whats New"" in favor of a playlist that again tells me what i should want to listen to is a downgrade not an upgrade. Most your ""updates"" these days are usually just to streamline everything making it all so simple minded/thoughtless it actually makes the experience of using the app worse.",13,4,17,"discovery,recommendation,playlist,artist","algorithm,artists,new music,playlist","spotify used to be all about the user discovering new music/artists. now its just an algorithm that trys to tell me what i should like. removing ""whats new"" in favor of a playlist that again tells me what i should want to listen to is a downgrade not an upgrade. most your ""updates"" these days are usually just to streamline everything making it all so simple minded/thoughtless it actually makes the experience of using the app worse."
4333,Google Play,IN,2,adding random songs that not even in my playlist and I didn't do any type of shuffle to make it do so I have Spotify premium already and it's not the smart shuffle it just adds random Songs when I skip,14,3,17,playlist,"playlist,shuffle,smart shuffle",adding random songs that not even in my playlist and i didn't do any type of shuffle to make it do so i have spotify premium already and it's not the smart shuffle it just adds random songs when i skip
4586,Google Play,IN,4,"Ai DJ sucks, the algorithm only seems to go by what you tend to listen to instead of musical theory of any sort. Huge changes from Die Prinzen to Green Day, when I wanted to listen to Die Prinzen and similar German pop rock bands. Other than that I would reccomend the premium version if you listen to a lot of music, the regular algorithms seem to do quite well when you want to listen to a specific artist or genre.",16,1,17,"discovery,recommendation,playlist,artist","ai dj,algorithm,artist,genre","ai dj sucks, the algorithm only seems to go by what you tend to listen to instead of musical theory of any sort. huge changes from die prinzen to green day, when i wanted to listen to die prinzen and similar german pop rock bands. other than that i would reccomend the premium version if you listen to a lot of music, the regular algorithms seem to do quite well when you want to listen to a specific artist or genre."
6250,Apple App Store,CA,5,I saw his music on smart shuffle and fell in love with it thanks to smart shuffle. Spotify also has a wide variety of music for you to listen too love it so much. (I’m not a facebook mom),17,0,17,"discovery,playlist","shuffle,smart shuffle,variety",i saw his music on smart shuffle and fell in love with it thanks to smart shuffle. spotify also has a wide variety of music for you to listen too love it so much. (i’m not a facebook mom)
4739,Google Play,IN,1,"With over 2k songs on my playlist, Spotify will still play the same fifty songs over and over. No matter if shuffle is activated. Please fix this.",13,4,17,"repetition,playlist","over and over,playlist,shuffle","with over 2k songs on my playlist, spotify will still play the same fifty songs over and over. no matter if shuffle is activated. please fix this."
2496,Google Play,IN,1,dogshit app that will play the same 10 songs on repeat over and over despite shuffling a 12+ hour playlist over 30 times. never actually truly shuffles.,13,4,17,"repetition,playlist","over and over,playlist,repeat",dogshit app that will play the same 10 songs on repeat over and over despite shuffling a 12+ hour playlist over 30 times. never actually truly shuffles.
6122,Apple App Store,AU,1,There should be a setting to exclude the AI songs from the suggestions that are made to me or placed on my discovery mode. I want to be able to find new artists without having to review if they actually exist.,13,4,17,"discovery,artist","artists,discovery,new artists",there should be a setting to exclude the ai songs from the suggestions that are made to me or placed on my discovery mode. i want to be able to find new artists without having to review if they actually exist.
2114,Google Play,IN,1,I would like a feature to disable AI music! Or at lest some sort of mark on the profile that shows who is AI. It annoys the heck out of me when the discover list has AI music on there. It's disgusting! Update: to make matters worse! There is now a bad AI DJ? And my Spotify is not working at all on the phone while I am offline? It's pitch black? What's that about? Seems like Spotify wants us to boycott them! I miss Spotify from 10 years ago.,13,4,17,"discovery,playlist","ai dj,discover",i would like a feature to disable ai music! or at lest some sort of mark on the profile that shows who is ai. it annoys the heck out of me when the discover list has ai music on there. it's disgusting! update: to make matters worse! there is now a bad ai dj? and my spotify is not working at all on the phone while i am offline? it's pitch black? what's that about? seems like spotify wants us to boycott them! i miss spotify from 10 years ago.
2190,Google Play,IN,2,The music player on my phone completely breaks whenever I listen to discover weekly. Ads pop up that block the album cover.,13,3,16,"discovery,playlist","discover,discover weekly",the music player on my phone completely breaks whenever i listen to discover weekly. ads pop up that block the album cover.
5404,Apple App Store,US,5,Spotify is always up to date on new music even if it was released one minute ago it makes sure the song is there. Spotify creates playlists for you based of your past or more recent music genre/taste and it’s really convenient because if you don’t want to take time to create a playlist then Spotify already has one ready.,16,0,16,"discovery,playlist,personalization","genre,new music,playlist,playlists,taste",spotify is always up to date on new music even if it was released one minute ago it makes sure the song is there. spotify creates playlists for you based of your past or more recent music genre/taste and it’s really convenient because if you don’t want to take time to create a playlist then spotify already has one ready.
6899,Apple App Store,SG,5,"1. Spotify is an excellent music streaming platform with a vast library of songs, podcasts, and playlists.
2. Its personalized recommendations and curated playlists make discovering new music easy and enjoyable.
3. The app offers smooth playback, offline listening, and a user-friendly interface for a great listening experience.",16,0,16,"discovery,recommendation,playlist","new music,personalized,playlists,recommendations","1. spotify is an excellent music streaming platform with a vast library of songs, podcasts, and playlists.
2. its personalized recommendations and curated playlists make discovering new music easy and enjoyable.
3. the app offers smooth playback, offline listening, and a user-friendly interface for a great listening experience."
2529,Google Play,IN,3,"having only smart shuffle sucks. The ads breaks are very frequent and I always get 4 in a row. The limit of having only 6 skips every hour isn't a issue for me most of the time because I love all the songs in my playlist, however I can realize why others would hate this for how restricting it is. What does bother me is having only 6 songs you can choose a day is the worst thing I have ever heard of, just increase the amount of listens or decrease the limit to every hour please I beg of you.",14,2,16,playlist,"playlist,shuffle,smart shuffle","having only smart shuffle sucks. the ads breaks are very frequent and i always get 4 in a row. the limit of having only 6 skips every hour isn't a issue for me most of the time because i love all the songs in my playlist, however i can realize why others would hate this for how restricting it is. what does bother me is having only 6 songs you can choose a day is the worst thing i have ever heard of, just increase the amount of listens or decrease the limit to every hour please i beg of you."
914,Google Play,IN,2,the shuffle makes the same Playlist with the same songs,13,3,16,"repetition,playlist","playlist,same songs,shuffle",the shuffle makes the same playlist with the same songs
1656,Google Play,IN,2,despite having over 1 thousand songs on my playlist the same songs come on lots during shuffle. how is this possible?,13,3,16,"repetition,playlist","playlist,same songs,shuffle",despite having over 1 thousand songs on my playlist the same songs come on lots during shuffle. how is this possible?
4730,Google Play,IN,1,smart shuffle is really not it😑,12,4,16,playlist,"shuffle,smart shuffle",smart shuffle is really not it😑
2546,Google Play,IN,1,Get rid of smart shuffle,12,4,16,playlist,"shuffle,smart shuffle",get rid of smart shuffle
2521,Google Play,IN,1,"nice app,BUT ITS WONT LET ME LISTEN TO THE SON I WANT,i hat this weird ""smart shuffle"",and the only way to get out from it is to get a premium,I HATE IT",12,4,16,playlist,"shuffle,smart shuffle","nice app,but its wont let me listen to the son i want,i hat this weird ""smart shuffle"",and the only way to get out from it is to get a premium,i hate it"
6190,Apple App Store,AU,1,And repeats.  Too expensive. Disliking a song on release radar does nothing,12,4,16,"repetition,playlist","release radar,repeats",and repeats.  too expensive. disliking a song on release radar does nothing
6831,Apple App Store,SG,1,You pay for nothing. Smart shuffle is forever taking over your music with things that do not make any sense or even link to your music in any way. Sometimes I feel basic spotify is better (and the premium app icon sucks),12,4,16,playlist,"shuffle,smart shuffle",you pay for nothing. smart shuffle is forever taking over your music with things that do not make any sense or even link to your music in any way. sometimes i feel basic spotify is better (and the premium app icon sucks)
4698,Google Play,IN,1,"stop playing recommend songs. I can barely even listen to my own playlist Keeps playing songs that are not on my playlist and when I try to choose a song on my playlist it won't change just says get premium to play any song, I am not wasting money on premium",12,4,16,"recommendation,repetition,playlist","keeps playing,playlist,recommend","stop playing recommend songs. i can barely even listen to my own playlist keeps playing songs that are not on my playlist and when i try to choose a song on my playlist it won't change just says get premium to play any song, i am not wasting money on premium"
649,Google Play,IN,5,"The music recommendations are surprisingly accurate. I always discover songs that match my taste, and the playlists are great for different moods.",15,0,15,"discovery,recommendation,playlist,personalization","discover,playlists,recommendations,taste","the music recommendations are surprisingly accurate. i always discover songs that match my taste, and the playlists are great for different moods."
665,Google Play,IN,5,"The recommendations are surprisingly accurate, and I've discovered so many new artists through the playlist.",15,0,15,"discovery,recommendation,playlist,artist","artists,new artists,playlist,recommendations","the recommendations are surprisingly accurate, and i've discovered so many new artists through the playlist."
5300,Apple App Store,US,5,I have had Spotify premium since 2012 and will never leave. Once the algorithm and AI understand your music taste the radio and curated daily playlists are unmatched!,15,0,15,"discovery,recommendation,playlist,personalization","algorithm,music taste,playlists,radio,taste",i have had spotify premium since 2012 and will never leave. once the algorithm and ai understand your music taste the radio and curated daily playlists are unmatched!
6832,Apple App Store,SG,5,"Bug with shuffle & autoplay functionality: After my selected song ends, the app successfully moves on to recommended tracks. However, if I open or interact with the app while a recommendation is playing, the track abruptly cuts off and replays my original song. This makes it impossible to save the new recommended songs to my playlist. Please fix this 🙏🏻",15,0,15,"recommendation,playlist","playlist,recommendation,recommended,shuffle","bug with shuffle & autoplay functionality: after my selected song ends, the app successfully moves on to recommended tracks. however, if i open or interact with the app while a recommendation is playing, the track abruptly cuts off and replays my original song. this makes it impossible to save the new recommended songs to my playlist. please fix this 🙏🏻"
2856,Google Play,IN,4,4 star coz too many ads and I don't have the choice to play the same song again and again without talking the subscription 😭 lmao....,14,1,15,repetition,"again and again,same song",4 star coz too many ads and i don't have the choice to play the same song again and again without talking the subscription 😭 lmao....
5268,Apple App Store,US,3,"I really enjoy the playlist, it is very easy and nice to have such a wide variety of genres and each really tailored to whatever mood I’m feeling, however, the audio quality is really lacking. Compared to my Apple Music, the clarity isn’t nearly as good, as well as the volume of the songs are lower than other platforms, which I find very strange.",13,2,15,"discovery,playlist,personalization","genres,mood,playlist,variety","i really enjoy the playlist, it is very easy and nice to have such a wide variety of genres and each really tailored to whatever mood i’m feeling, however, the audio quality is really lacking. compared to my apple music, the clarity isn’t nearly as good, as well as the volume of the songs are lower than other platforms, which i find very strange."
3281,Google Play,IN,5,"Spotify is simply the best music app out there. Huge song library, perfect playlists, and the sound quality is amazing. The Discover Weekly never misses. Can’t imagine my day without it!",15,0,15,"discovery,playlist","discover,discover weekly,playlists","spotify is simply the best music app out there. huge song library, perfect playlists, and the sound quality is amazing. the discover weekly never misses. can’t imagine my day without it!"
4402,Google Play,IN,2,oh I hate those 3 adds what did I do to get them when I Finnish any kind of song and that smart shuffle it sucks literally deleting the good songs from queue compared to pc website Spotify this is totally eating my nerves away with all of those discomforts can't even listen normally.,12,3,15,playlist,"shuffle,smart shuffle",oh i hate those 3 adds what did i do to get them when i finnish any kind of song and that smart shuffle it sucks literally deleting the good songs from queue compared to pc website spotify this is totally eating my nerves away with all of those discomforts can't even listen normally.
2806,Google Play,IN,1,"this app sucks. the shuffle is terrible, it takes too long to load, and it can't reconnect to the Internet for at least 30 minutes after my phone restarts. I have 10k songs, why am I hearing the same songs on shuffle week over week?",11,4,15,"repetition,playlist","same songs,shuffle","this app sucks. the shuffle is terrible, it takes too long to load, and it can't reconnect to the internet for at least 30 minutes after my phone restarts. i have 10k songs, why am i hearing the same songs on shuffle week over week?"
3237,Google Play,IN,1,algorithm gives uninteresting recommendations that don't fit my taste. feels like they just find whatever song is in the same language,11,4,15,"recommendation,personalization","algorithm,recommendations,taste",algorithm gives uninteresting recommendations that don't fit my taste. feels like they just find whatever song is in the same language
4708,Google Play,IN,1,"June 2026 update: how many times do I have to hide a ""Mixed"" compilation album track from my release radar before your algorithm realizes I only want full songs? Second, must of the ""Mixed"" tracks are from compilation albums and not real new releases, in most cases the songs have been out for years. as a DJ this makes my life so difficult. Spotify just keeps disappointing, I wish I could give it negative stars!",11,4,15,"recommendation,playlist","algorithm,release radar","june 2026 update: how many times do i have to hide a ""mixed"" compilation album track from my release radar before your algorithm realizes i only want full songs? second, must of the ""mixed"" tracks are from compilation albums and not real new releases, in most cases the songs have been out for years. as a dj this makes my life so difficult. spotify just keeps disappointing, i wish i could give it negative stars!"
6140,Apple App Store,AU,1,"Spotify without premium feels like a constant push to buy premium. Random song selections, 6 skips an hour, unable to choose songs from your playlists at times and just chooses songs from the recommendations. It feels like a constant push to give them money for a better experience. 

I don’t recommend the app if your not willing to spend money",11,4,15,"recommendation,playlist","playlists,recommend,recommendations","spotify without premium feels like a constant push to buy premium. random song selections, 6 skips an hour, unable to choose songs from your playlists at times and just chooses songs from the recommendations. it feels like a constant push to give them money for a better experience. 

i don’t recommend the app if your not willing to spend money"
6066,Apple App Store,AU,3,"When you have a playlist for some reason, the shuffle plays the same songs before you go through the whole playlist",13,2,15,"repetition,playlist","playlist,same songs,shuffle","when you have a playlist for some reason, the shuffle plays the same songs before you go through the whole playlist"
3799,Google Play,IN,4,"One problem: I have a shared playlist with a friend. It's very long, over 8 hours. Recently, some songs will just disappear from the playlist without either my friend or I touching them. I'll see songs I've added to the playlist a while ago in the recommended songs at the bottom of the playlist. I'll add it back. Its happened one or twice where the same song will disappear after being added back. We both have premium if that makes a difference.",13,1,14,"recommendation,repetition,playlist","playlist,recommended,same song","one problem: i have a shared playlist with a friend. it's very long, over 8 hours. recently, some songs will just disappear from the playlist without either my friend or i touching them. i'll see songs i've added to the playlist a while ago in the recommended songs at the bottom of the playlist. i'll add it back. its happened one or twice where the same song will disappear after being added back. we both have premium if that makes a difference."
5702,Apple App Store,AU,5,"I absolutely adore Spotify. Whether you use Premium or you don’t pay for it, as I have experienced both, it is full of every song to ever exist, pretty much. You can favourite songs, make unlimited playlists, listen to any track you like, and even make shared playlists with your friends! If you put it on Smart Shuffle, it even recommends songs for you! I will use Spotify for forever after.",14,0,14,playlist,"playlists,shuffle,smart shuffle","i absolutely adore spotify. whether you use premium or you don’t pay for it, as i have experienced both, it is full of every song to ever exist, pretty much. you can favourite songs, make unlimited playlists, listen to any track you like, and even make shared playlists with your friends! if you put it on smart shuffle, it even recommends songs for you! i will use spotify for forever after."
2400,Google Play,IN,5,"Spotify is the perfect companion for music lovers. With millions of songs, podcasts, and personalized playlists, it creates the perfect atmosphere for every mood. The app makes discovering new music easy, enjoyable, and unforgettable. this app was my favourite app because I love music a lot. there's so many music that I love here.",14,0,14,"discovery,recommendation,playlist,personalization","mood,new music,personalized,playlists","spotify is the perfect companion for music lovers. with millions of songs, podcasts, and personalized playlists, it creates the perfect atmosphere for every mood. the app makes discovering new music easy, enjoyable, and unforgettable. this app was my favourite app because i love music a lot. there's so many music that i love here."
5358,Apple App Store,US,4,"Spotify is super great and that you can listen to any song you want anytime you like. It also allows you to have fun while you’re cleaning, playing sports, or any other activity you do every day. You can also discover new songs and artist that you didn’t know about.",13,1,14,"discovery,artist","artist,discover,new songs","spotify is super great and that you can listen to any song you want anytime you like. it also allows you to have fun while you’re cleaning, playing sports, or any other activity you do every day. you can also discover new songs and artist that you didn’t know about."
